v1,v2
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcve"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends..."
spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
ham,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 2days, opt out txt> stop"
ham,"I'm gonna be home soon and i'm going to sleep right away."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"Oh k...i'm watching demo"
spam,"Thanks for your subscription to Ringtone UK your mobile will be charged £8/month. Please confirm by replying YES or NO. If you reply NO you will not be charged"
ham,"I'll have my phone with me from now on so you can call or text me."
ham,"No, call me when you get out, I'll be waiting."
spam,"You have 1 new voicemail. Please call 09061847202 to listen. POBox 500, W1V 5SR. Help 08712405024"
ham,"Sorry, I can't talk now. I'm in a meeting."
spam,"Congratulations! You've been selected for our iPhone X giveaway! Text IPHONE to 80800 now to claim!"
ham,"I love you too baby."
ham,"Can you please buy some bread on your way home?"
spam,"FREE CASH! Up to £5000 deposited directly to your account! Text MONEY to 85555 to qualify. Ts&Cs apply."
ham,"The project is due on Friday, please submit your work."
spam,"You have been charged £30 for your subscription to MobileFun. To unsubscribe, text STOP to 89555"
ham,"Let's meet at Starbucks at 3pm."
spam,"Your PayPal account has been limited. Please verify your account now: paypal-security.com/verify"
ham,"Ok, I'll see you then."
spam,"Congratulations! Your email has won £800,000 in the UK Lottery! Call +447031999442 to claim your prize."
ham,"I'm at the gym right now, call you later."
spam,"FREE 12 month subscription to Netflix! Text NETFLIX to 80085 now! T&Cs apply, 18+ only"
ham,"Can you send me the presentation slides?"
spam,"WIN A FREE CAR! BMW 3 Series to be won! Text CAR to 85755 to enter. Cost £1.50 per entry"
ham,"I'll be there in 10 minutes."
spam,"Your BT Broadband bill is overdue. Immediate action required to avoid disconnection: bt.com/paynow"
ham,"Happy birthday! Hope you have a great day!"
spam,"You've got a text from 'Mandy'! To read it go to voicemailnow.co.uk"
ham,"Don't forget to lock the door when you leave."
spam,"Congratulations! You're our 1 millionth visitor! Claim your prize at: bestprizes.com/claim"
ham,"I'm feeling sick today, can't come to work."
spam,"Hot singles in your area want to meet you! Flirt now at flirtlocal.co.uk"
ham,"Did you see the game last night?"
spam,"URGENT: Your computer has a virus! Download fix at: virusfix-tool.com"
ham,"I need your help with this assignment."
spam,"You have inherited £4.5 million! Contact our law firm to claim: claims4u.co.uk"
ham,"What time does the movie start?"
spam,"FREE RINGTONE! Get the latest chart hits sent to your phone daily! Text MUSIC to 83838"
ham,"I already finished that task."
spam,"You've been specially selected for a FREE holiday to Spain! Text HOLIDAY to 89696"
ham,"Where are you? I've been waiting for 20 minutes."
spam,"Your bank account has been compromised. Call 09061847202 immediately to secure your funds."
ham,"Let's order pizza tonight."
spam,"WIN A TRIP TO PARIS! Text FRANCE to 85775 to enter now! 150p/text"
ham,"I'm running late, start without me."
spam,"Exclusive offer! 50% off all products at Amazon! Click here: amazon-deals.co.uk"
ham,"Thanks for the gift, I love it!"
spam,"You've been charged £45 for your subscription to Match.com. Text STOP to cancel"
ham,"The wifi isn't working."
spam,"FREE VOUCHER! £100 to spend at Tesco! Text SHOP to 85555 to claim"
ham,"I'll call you back in 5 minutes."
spam,"Your phone insurance is due for renewal. Call 09064738291 to renew now"
ham,"Can you pick up the kids from school?"
spam,"YOU WON £5000! Claim your prize now by calling 09051515151"
ham,"The restaurant is fully booked."
spam,"Congratulations! You've been selected for our prize draw! Text CLAIM to 80085"
ham,"I'm on my way."
spam,"FREE TICKETS to see Coldplay! Text COLDPLAY to 85666 to enter"
ham,"See you tomorrow."
spam,"Your water bill is overdue. Immediate payment required: water-bill.co.uk"
ham,"I'll send you the document shortly."
spam,"You have a parcel waiting! Track your delivery at: parcel-track.co.uk"
ham,"Good morning! Have a nice day."
spam,"HOT DEAL! 70% off all electronics! Shop now at: electrosale.co.uk"
ham,"I'm bored, want to hang out?"
spam,"Your credit card has been used for a suspicious transaction. Call 09061847202 immediately"
ham,"The code is 123456."
spam,"FREE Samsung Galaxy S10! Just pay £1.99 P&P! Text PHONE to 83838"
ham,"I love this song!"
spam,"Congratulations! You're today's lucky winner! Call now to claim: 09050005000"
ham,"What's for dinner?"
spam,"URGENT: Your tax refund is pending. Update your details at: gov-refund.co.uk"
ham,"I'll be late, sorry."
spam,"FREE MINUTES! Get 500 free minutes to any network! Text FREE to 84444"
ham,"Did you finish the report?"
spam,"Your DHL package couldn't be delivered. Reschedule at: dhl-redelivery.co.uk"
ham,"Yes, I'll be there."
spam,"You've won an iPad Pro! Click here: win-ipad.co.uk"
ham,"No problem, take your time."
